scene,method,step,psnr,ssim,lpips,pairs,note
032dee9fb0a8bc1b90871dc5fe950080d0bcd3caf166447f44e60ca50ac04ec7,vanilla_gs_30k,29999,24.076608657836914,0.8501442670822144,0.13076229393482208,279,Official val_step stats JSON
032dee9fb0a8bc1b90871dc5fe950080d0bcd3caf166447f44e60ca50ac04ec7,difix3d_official,59999,25.872600555419922,0.8673139214515686,0.10592438280582428,279,Official val_step stats JSON
032dee9fb0a8bc1b90871dc5fe950080d0bcd3caf166447f44e60ca50ac04ec7,difix3dplus_fixed_vs_pred,59999,27.427476930789197,0.8964087691785614,0.10633513021640026,279,Reference = Difix3D Pred (not GT)
0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166,vanilla_gs_30k,29999,25.19544219970703,0.8227176666259766,0.06989192217588425,268,Official val_step stats JSON
0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166,difix3d_official,59999,25.456907272338867,0.827357828617096,0.06708179414272308,268,Official val_step stats JSON
0569e83fdc248a51fc0ab082ce5e2baff15755c53c207f545e6d02d91f01d166,difix3dplus_fixed_vs_pred,59999,27.35841699856431,0.8845036201067825,0.05909446914638601,268,Reference = Difix3D Pred (not GT)
06da796666297fe4c683c231edf56ec00148a6a52ab5bb159fe1be31f53a58df,vanilla_gs_30k,29999,20.72739028930664,0.7522597312927246,0.2284708470106125,278,Official val_step stats JSON
06da796666297fe4c683c231edf56ec00148a6a52ab5bb159fe1be31f53a58df,difix3d_official,59999,21.893508911132812,0.7779496312141418,0.18967419862747192,278,Official val_step stats JSON
06da796666297fe4c683c231edf56ec00148a6a52ab5bb159fe1be31f53a58df,difix3dplus_fixed_vs_pred,59999,27.604787977479344,0.9095613984324091,0.12786908029652327,278,Reference = Difix3D Pred (not GT)
073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561,vanilla_gs_30k,29999,19.083484649658203,0.5367243885993958,0.25931552052497864,358,Official val_step stats JSON
073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561,difix3d_official,59999,19.31053352355957,0.5413711071014404,0.25129207968711853,358,Official val_step stats JSON
073f5a9b983ced6fb28b23051260558b165f328a16b2d33fe20585b7ee4ad561,difix3dplus_fixed_vs_pred,59999,24.06384104190592,0.7999049501712096,0.18147689618128637,358,Reference = Difix3D Pred (not GT)
07d9f9724ca854fae07cb4c57d7ea22bf667d5decd4058f547728922f909956b,vanilla_gs_30k,29999,35.55381393432617,0.9736354947090149,0.01684645749628544,270,Official val_step stats JSON
07d9f9724ca854fae07cb4c57d7ea22bf667d5decd4058f547728922f909956b,difix3d_official,59999,36.1724739074707,0.9751003384590149,0.015518377535045147,270,Official val_step stats JSON
07d9f9724ca854fae07cb4c57d7ea22bf667d5decd4058f547728922f909956b,difix3dplus_fixed_vs_pred,59999,33.08934388337312,0.9581250371756377,0.028407863437853478,270,Reference = Difix3D Pred (not GT)
0853979305f7ecb80bd8fc2c8df916410d471ef04ed5f1a64e9651baa41d7695,vanilla_gs_30k,29999,31.54811668395996,0.9408210515975952,0.055439505726099014,313,Official val_step stats JSON
0853979305f7ecb80bd8fc2c8df916410d471ef04ed5f1a64e9651baa41d7695,difix3d_official,54999,32.29812240600586,0.944139838218689,0.05230744555592537,313,Official val_step stats JSON
0853979305f7ecb80bd8fc2c8df916410d471ef04ed5f1a64e9651baa41d7695,difix3dplus_fixed_vs_pred,55999,31.997929326261577,0.9491347849559479,0.051762417268257935,313,Reference = Difix3D Pred (not GT)
